EventTime,EventType,Event
,AGENT_TYPE,ExchangeAgent
2020-01-13 00:00:00.000437341,WHEN_MKT_CLOSE,1657
2020-01-13 00:00:00.000440702,WHEN_MKT_OPEN,4784
2020-01-13 00:00:00.000440702,WHEN_MKT_CLOSE,4784
2020-01-13 00:00:00.000442678,WHEN_MKT_OPEN,2260
2020-01-13 00:00:00.000442678,WHEN_MKT_CLOSE,2260
2020-01-13 00:00:00.000446856,WHEN_MKT_OPEN,252
2020-01-13 00:00:00.000446856,WHEN_MKT_CLOSE,252
2020-01-13 00:00:00.000447608,WHEN_MKT_OPEN,2477
2020-01-13 00:00:00.000447608,WHEN_MKT_CLOSE,2477
2020-01-13 00:00:00.000451735,WHEN_MKT_OPEN,2532
2020-01-13 00:00:00.000451735,WHEN_MKT_CLOSE,2532
