AgentID,AgentStrategy,EventType,Event
479,NoiseAgent,STARTING_CASH,10000000.0
480,NoiseAgent,STARTING_CASH,10000000.0
481,NoiseAgent,STARTING_CASH,10000000.0
482,NoiseAgent,STARTING_CASH,10000000.0
483,NoiseAgent,STARTING_CASH,10000000.0
484,NoiseAgent,STARTING_CASH,10000000.0
485,NoiseAgent,STARTING_CASH,10000000.0
486,NoiseAgent,STARTING_CASH,10000000.0
487,NoiseAgent,STARTING_CASH,10000000.0
488,NoiseAgent,STARTING_CASH,10000000.0
489,NoiseAgent,STARTING_CASH,10000000.0
490,NoiseAgent,STARTING_CASH,10000000.0
491,NoiseAgent,STARTING_CASH,10000000.0
492,NoiseAgent,STARTING_CASH,10000000.0
493,NoiseAgent,STARTING_CASH,10000000.0
494,NoiseAgent,STARTING_CASH,10000000.0
495,NoiseAgent,STARTING_CASH,10000000.0
496,NoiseAgent,STARTING_CASH,10000000.0
497,NoiseAgent,STARTING_CASH,10000000.0
498,NoiseAgent,STARTING_CASH,10000000.0
499,NoiseAgent,STARTING_CASH,10000000.0
500,NoiseAgent,STARTING_CASH,10000000.0
