time,price_dollars,side,qty
2020-01-13 09:30:00.019362728,997.72,BID,23
2020-01-13 09:30:00.019362728,997.75,BID,20
2020-01-13 09:30:00.019362728,997.78,BID,46
2020-01-13 09:30:00.019362728,997.86,BID,39
2020-01-13 09:30:00.019362728,997.87,BID,44
2020-01-13 09:30:00.019362728,997.89,BID,65
2020-01-13 09:30:00.019362728,997.91,BID,2177
2020-01-13 09:30:00.019362728,998.03,BID,34
2020-01-13 09:30:00.019362728,998.12,BID,23
2020-01-13 09:30:00.019362728,998.13,BID,28
2020-01-13 09:30:00.019362728,998.14,BID,41
2020-01-13 09:30:00.019362728,998.19,BID,37
2020-01-13 09:30:00.019362728,998.22,BID,33
2020-01-13 09:30:00.019362728,998.27,BID,37
2020-01-13 09:30:00.019362728,998.48,BID,31
2020-01-13 09:30:00.019362728,998.59,ASK,98
2020-01-13 09:30:00.019362728,999.8,ASK,21
2020-01-13 09:30:00.019362728,999.84,ASK,31
2020-01-13 09:30:00.019362728,1000.18,ASK,47
2020-01-13 09:30:00.019362728,1000.66,ASK,22
2020-01-13 09:30:00.019362728,1000.8,ASK,49
2020-01-13 09:30:00.020416589,997.24,BID,42
2020-01-13 09:30:00.020416589,997.25,BID,21
2020-01-13 09:30:00.020416589,997.31,BID,48
2020-01-13 09:30:00.020416589,997.37,BID,34
2020-01-13 09:30:00.020416589,997.44,BID,26
2020-01-13 09:30:00.020416589,997.72,BID,23
2020-01-13 09:30:00.020416589,997.75,BID,20
2020-01-13 09:30:00.020416589,997.78,BID,46
2020-01-13 09:30:00.020416589,997.86,BID,39
2020-01-13 09:30:00.020416589,997.87,BID,44
2020-01-13 09:30:00.020416589,997.89,BID,65
2020-01-13 09:30:00.020416589,997.91,BID,2177
2020-01-13 09:30:00.020416589,998.03,BID,34
2020-01-13 09:30:00.020416589,998.12,BID,23
2020-01-13 09:30:00.020416589,998.13,BID,28
2020-01-13 09:30:00.020416589,998.14,BID,41
2020-01-13 09:30:00.020416589,998.19,BID,37
2020-01-13 09:30:00.020416589,998.22,BID,33
2020-01-13 09:30:00.020416589,998.27,BID,37
2020-01-13 09:30:00.020416589,998.48,BID,31
2020-01-13 09:30:00.020416589,999.45,ASK,620
2020-01-13 09:30:00.020416589,999.8,ASK,21
2020-01-13 09:30:00.020416589,999.84,ASK,31
2020-01-13 09:30:00.020416589,1000.18,ASK,47
2020-01-13 09:30:00.020416589,1000.66,ASK,22
2020-01-13 09:30:00.020416589,1000.8,ASK,49
2020-01-13 09:30:00.021635527,997.24,BID,42
2020-01-13 09:30:00.021635527,997.25,BID,21
2020-01-13 09:30:00.021635527,997.31,BID,48
2020-01-13 09:30:00.021635527,997.37,BID,34
2020-01-13 09:30:00.021635527,997.44,BID,26
2020-01-13 09:30:00.021635527,997.72,BID,23
2020-01-13 09:30:00.021635527,997.75,BID,20
2020-01-13 09:30:00.021635527,997.78,BID,46
2020-01-13 09:30:00.021635527,997.86,BID,39
2020-01-13 09:30:00.021635527,997.87,BID,44
2020-01-13 09:30:00.021635527,997.89,BID,65
2020-01-13 09:30:00.021635527,997.91,BID,2177
2020-01-13 09:30:00.021635527,998.03,BID,34
2020-01-13 09:30:00.021635527,998.12,BID,23
2020-01-13 09:30:00.021635527,998.13,BID,28
2020-01-13 09:30:00.021635527,998.14,BID,41
2020-01-13 09:30:00.021635527,998.19,BID,37
2020-01-13 09:30:00.021635527,998.22,BID,33
2020-01-13 09:30:00.021635527,998.27,BID,21
2020-01-13 09:30:00.021635527,998.59,BID,23
2020-01-13 09:30:00.021635527,999.0,BID,33
2020-01-13 09:30:00.021635527,999.45,ASK,513
2020-01-13 09:30:00.021635527,999.8,ASK,21
2020-01-13 09:30:00.021635527,999.84,ASK,31
2020-01-13 09:30:00.021635527,1000.18,ASK,47
2020-01-13 09:30:00.021635527,1000.35,ASK,32
2020-01-13 09:30:00.021635527,1000.66,ASK,22
2020-01-13 09:30:00.021635527,1000.8,ASK,49
2020-01-13 09:30:00.022629724,997.24,BID,42
2020-01-13 09:30:00.022629724,997.25,BID,21
2020-01-13 09:30:00.022629724,997.31,BID,48
2020-01-13 09:30:00.022629724,997.37,BID,34
2020-01-13 09:30:00.022629724,997.44,BID,26
2020-01-13 09:30:00.022629724,997.72,BID,23
2020-01-13 09:30:00.022629724,997.75,BID,20
2020-01-13 09:30:00.022629724,997.78,BID,46
2020-01-13 09:30:00.022629724,997.86,BID,39
2020-01-13 09:30:00.022629724,997.87,BID,44
2020-01-13 09:30:00.022629724,997.89,BID,65
2020-01-13 09:30:00.022629724,997.91,BID,2177
2020-01-13 09:30:00.022629724,998.03,BID,34
2020-01-13 09:30:00.022629724,998.12,BID,23
2020-01-13 09:30:00.022629724,998.13,BID,28
2020-01-13 09:30:00.022629724,998.14,BID,41
2020-01-13 09:30:00.022629724,998.16,BID,11
2020-01-13 09:30:00.022629724,998.59,BID,323
2020-01-13 09:30:00.022629724,999.45,ASK,262
2020-01-13 09:30:00.022629724,999.8,ASK,21
2020-01-13 09:30:00.022629724,999.84,ASK,31
2020-01-13 09:30:00.022629724,1000.18,ASK,47
2020-01-13 09:30:00.022629724,1000.35,ASK,32
2020-01-13 09:30:00.022629724,1000.66,ASK,22
2020-01-13 09:30:00.022629724,1000.8,ASK,49
2020-01-13 09:30:00.023775898,997.24,BID,42
2020-01-13 09:30:00.023775898,997.25,BID,21
2020-01-13 09:30:00.023775898,997.31,BID,48
2020-01-13 09:30:00.023775898,997.37,BID,34
2020-01-13 09:30:00.023775898,997.44,BID,26
2020-01-13 09:30:00.023775898,997.72,BID,23
